,0
0,0.432733148336
1,0.489245802164
2,0.47916534543
3,0.508788108826
4,0.46135827899
5,0.479285269976
6,0.476399481297
7,0.517431676388
8,0.495768010616
9,0.488023012877
10,0.476505428553
11,0.476500928402
12,0.470011234283
13,0.474805980921
14,0.474738419056
15,0.44668546319
16,0.489124119282
17,0.468869358301
18,0.44167688489
19,0.480270683765
20,0.47601133585
21,0.444670885801
22,0.502232193947
23,0.452419340611
24,0.463194519281
25,0.492228388786
26,0.448167413473
27,0.488686859608
28,0.492698431015
29,0.476683914661
30,0.443473577499
31,0.460512340069
32,0.449518859386
33,0.463589668274
34,0.487916260958
35,0.453063726425
36,0.507989287376
37,0.428990483284
38,0.462680369616
39,0.449575066566
40,0.495311021805
41,0.461076289415
42,0.501673519611
43,0.455948799849
44,0.484699934721
45,0.489135533571
46,0.472545683384
47,0.473873227835
48,0.471253633499
49,0.451177328825
50,0.492664247751
51,0.49528041482
52,0.447471827269
53,0.459223181009
54,0.50602799654
55,0.428862452507
56,0.48485788703
57,0.472409963608
58,0.468485981226
59,0.485286802053
60,0.484721720219
61,0.467879593372
62,0.502677738667
63,0.453342378139
64,0.452026367188
65,0.49751034379
66,0.484064012766
67,0.503073036671
68,0.476991951466
69,0.490555673838
70,0.460939705372
71,0.444024980068
72,0.469835519791
73,0.488690704107
74,0.500107586384
75,0.453764975071
76,0.494676142931
77,0.460344642401
78,0.455696165562
79,0.485203117132
80,0.452620625496
81,0.451800525188
82,0.501461088657
83,0.474230021238
84,0.453429222107
85,0.469162940979
86,0.470563322306
87,0.490093529224
88,0.453010976315
89,0.459846168756
90,0.455308556557
91,0.502188146114
92,0.477114707232
93,0.481809824705
94,0.454198658466
95,0.456228911877
96,0.459678322077
97,0.494692653418
98,0.503007233143
99,0.485963255167
