,0
0,0.0843754038215
1,0.0773783475161
2,0.0789024755359
3,0.0748005583882
4,0.0783565714955
5,0.0874820202589
6,0.0941868126392
7,0.0813677161932
8,0.0760011896491
9,0.0826765969396
10,0.0758802816272
11,0.0961675941944
12,0.122493498027
13,0.0980362445116
14,0.0784140974283
15,0.0877310782671
16,0.0985820442438
17,0.122434191406
18,0.0678893923759
19,0.0765656381845
20,0.0748516917229
21,0.0734924525023
22,0.0811211168766
23,0.0779473409057
24,0.0805351957679
25,0.0844408497214
26,0.0767943263054
27,0.0824908539653
28,0.0881342887878
29,0.10105227679
30,0.0785785242915
31,0.088295891881
32,0.0905015692115
33,0.0765330418944
34,0.0946660935879
35,0.0928875282407
36,0.0840115621686
37,0.0780693441629
38,0.0905827283859
39,0.0791993886232
40,0.0786434039474
41,0.0715475529432
42,0.0904602482915
43,0.0769828930497
44,0.0827478542924
45,0.0802121609449
46,0.0981160700321
47,0.0992107316852
48,0.0895156562328
49,0.0751472041011
50,0.0912609025836
51,0.122759588063
52,0.0775875523686
53,0.0789185538888
54,0.100021928549
55,0.0789564326406
56,0.0767835453153
57,0.104277774692
58,0.0730311125517
59,0.0825923755765
60,0.0873700380325
61,0.0713562965393
62,0.0846538990736
63,0.0885968953371
64,0.118919372559
65,0.0987377464771
66,0.0768399760127
67,0.080486163497
68,0.0870316177607
69,0.0732009783387
70,0.0721038281918
71,0.0836185067892
72,0.0911959111691
73,0.134566470981
74,0.0782852843404
75,0.0802105218172
76,0.0758403465152
77,0.0857801139355
78,0.0753468796611
79,0.0805761665106
80,0.0796756371856
81,0.0787208676338
82,0.10726107657
83,0.0846451371908
84,0.0763070806861
85,0.0933104455471
86,0.0751996785402
87,0.0923338159919
88,0.0760900303721
89,0.0948750525713
90,0.0824480801821
91,0.0754333883524
92,0.0802308991551
93,0.0872482955456
94,0.0841980278492
95,0.108211152256
96,0.0812969654799
97,0.0756626576185
98,0.0812512636185
99,0.0738654583693
